	CRISPR-SMPL-1	CRISPR-CNTRL-1	CRISPR-SMPL-2	CRISPR-CNTRL-2	CRISPR-SMPL-3	CRISPR-CNTRL-3
gRNA-No-00588	0	0	1	30	0	0
gRNA-No-06437	0	0	0	0	0	0
gRNA-No-00590	0	2	0	32	2	9
gRNA-No-00591	0	0	0	0	0	0
gRNA-No-00592	0	0	3	12	9	4
gRNA-No-00593	28	31	41	221	78	88
gRNA-No-00595	2	3	52	220	0	2
gRNA-No-00596	55	80	18	256	76	55
gRNA-No-00597	0	0	0	0	0	0
gRNA-No-17165	23	117	24	327	68	102
gRNA-No-00599	149	153	45	178	116	76
gRNA-No-04587	0	0	0	0	0	0
gRNA-No-51022	14	209	11	334	13	105
gRNA-No-00607	0	0	0	0	0	0
gRNA-No-00608	28	36	22	103	0	8
gRNA-No-00609	146	263	117	662	210	159
gRNA-No-00610	128	142	46	217	67	62
gRNA-No-03470	15	26	7	71	7	0
gRNA-No-03471	17	33	4	9	22	26
gRNA-No-00613	10	15	3	2	32	37
gRNA-No-00614	1	17	20	64	1	2
gRNA-No-03481	9	64	0	4	9	50
gRNA-No-03490	0	7	3	16	10	12
gRNA-No-00618	133	146	59	342	83	96
gRNA-No-00619	16	79	11	295	21	64
gRNA-No-00620	0	0	0	0	0	0
gRNA-No-00622	0	0	0	0	0	0
gRNA-No-00625	10	7	0	12	0	5
gRNA-No-00626	129	169	36	163	53	38
gRNA-No-00627	9	25	6	13	0	7
gRNA-No-00628	4	5	0	33	3	23
gRNA-No-00629	0	0	0	0	0	0
gRNA-No-00631	153	284	116	626	248	215
gRNA-No-00632	130	165	70	363	260	196
gRNA-No-00633	28	61	45	183	37	21
gRNA-No-00634	63	61	15	72	84	51
gRNA-No-00635	0	0	0	0	0	1
gRNA-No-03622	0	0	0	0	0	0
gRNA-No-00640	60	63	44	262	116	93
gRNA-No-00641	67	66	69	264	75	62
gRNA-No-00642	39	30	18	145	14	18
gRNA-No-00643	60	62	60	232	65	86
gRNA-No-03647	85	96	75	506	89	85
gRNA-No-03727	13	33	8	217	6	44
gRNA-No-14144	182	224	89	485	193	170
gRNA-No-00650	1	4	1	28	3	31
gRNA-No-03742	36	69	39	148	53	73
gRNA-No-03743	36	49	23	135	126	91
gRNA-No-03744	100	121	73	258	77	50
gRNA-No-00654	0	0	0	0	12	3
gRNA-No-00656	68	75	12	103	15	18
gRNA-No-00658	89	126	29	165	53	49
gRNA-No-00659	77	86	50	222	116	84
gRNA-No-00660	129	133	52	242	92	66
gRNA-No-24531	0	0	0	0	0	0
gRNA-No-00661	9	12	3	39	11	27
gRNA-No-00663	0	0	0	0	0	0
gRNA-No-00664	29	127	6	75	10	35
gRNA-No-00665	29	27	17	95	3	11
gRNA-No-00666	74	91	57	298	98	62
gRNA-No-00667	73	196	93	406	80	121
gRNA-No-00668	82	193	18	206	113	170
gRNA-No-00669	0	0	0	10	1	3
gRNA-No-00670	27	95	22	96	53	45
gRNA-No-00674	24	21	0	25	8	5
gRNA-No-00675	0	0	0	0	0	0
gRNA-No-00676	99	88	62	265	52	53
gRNA-No-00678	35	55	21	135	122	96
gRNA-No-00681	20	27	10	39	8	3
gRNA-No-00682	75	119	31	159	71	80
gRNA-No-00683	29	16	4	18	23	16
gRNA-No-00684	7	5	0	0	1	0
gRNA-No-00686	7	5	2	3	1	1
gRNA-No-00687	1	4	1	5	21	21
gRNA-No-00689	152	159	29	153	119	92
gRNA-No-00690	4	33	0	24	0	1
gRNA-No-03368	0	0	0	0	0	0
gRNA-No-00692	0	0	0	0	0	0
gRNA-No-00693	0	0	0	1	0	0
gRNA-No-00694	13	21	7	55	3	7
gRNA-No-00696	5	2	10	16	11	10
gRNA-No-00697	35	59	20	148	26	36
gRNA-No-00699	32	30	15	97	15	42
gRNA-No-00700	18	28	17	99	2	42
gRNA-No-00701	0	0	0	0	0	0
gRNA-No-08852	0	0	0	0	0	0
gRNA-No-00703	767	1217	534	2392	1153	939
gRNA-No-00704	102	197	70	593	98	132
